CandidateName,Incumbent,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Ellis Colvin,,,D,House,5,Black,M,https://www.votecolvinforcongress.com/,https://x.com/colvin4congress,99,https://www.instagram.com/colvinforcongress/,99,99,99,N/A
Harry Dunn,,,D,House,5,Black,M,https://harrydunnformd.com/,https://x.com/libradunn,https://www.facebook.com/people/Harry-Dunn-for-Maryland/61555385664820/,https://www.instagram.com/libradunn/,https://www.youtube.com/channel/UCcAg1O_zZXhP1KvXC8UM0Hg,https://www.tiktok.com/@libradunn,https://bsky.app/profile/libradunn1.bsky.social,N/A
Arthur Ellis,,,D,House,5,Black,M,https://arthurellisforcongress.com/,99,99,99,99,99,99,N/A
Elldwnia English,,,D,House,5,Black,F,https://elldwniaforcongress.org/,99,99,https://www.instagram.com/elldwinia_for_congress/,99,99,99,N/A
Terry Jackson,,,D,House,5,Hispanic,M,https://www.terryjackson4congress.com/,https://x.com/terryj4congress,https://www.facebook.com/people/Terry-Jackson-for-Congress/61583371685938/,https://www.instagram.com/terryjackson4congress/,99,https://www.tiktok.com/@terryjackson4congress,https://bsky.app/profile/dividedwefall25.bsky.social,N/A
Harry Jarin,,,D,House,5,White,M,https://www.harrymd5.com/,https://x.com/harry_md5,99,https://www.instagram.com/harry.jarin,https://www.youtube.com/@HarryMD5,https://www.tiktok.com/@harry_md5,https://bsky.app/profile/harrymd5.bsky.social,N/A
Walter Kirkland,,,D,House,5,Black,M,https://www.walterkirklandforcongress.com/,99,https://www.facebook.com/people/Kirkland-For-Congress/61584916559945/#,https://www.instagram.com/kirklandforcongress/#,https://www.youtube.com/channel/UC2CqA4qmPGtqivVOs-CF3pg,https://www.tiktok.com/@walterrkirkland?_r=1&_t=ZP-928yNQll0LG,99,N/A
Jerry Lightfoot,,,D,House,5,Black,M,https://jerryforuscongress.com/home,https://x.com/LightfootJ63328,https://www.facebook.com/jerryforuscongress,https://www.instagram.com/jerryforuscongress,99,99,99,N/A
Heather Luper,,,D,House,5,Black,F,https://heatherluper.com/,https://x.com/Luper4Congress,https://www.facebook.com/luper4congress,https://www.instagram.com/luper4congress,99,99,99,N/A
James Makle Jr.,,,D,House,5,Not Sure,M,99,99,99,99,99,99,99,N/A
