CandidateName,Withdrew,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes
Pedro (Pete) Ruiz,,D,H,11,Hispanic,M,https://www.pedroruizforcd11.com/,99,https://www.facebook.com/pedroruizforcongress/,https://www.instagram.com/Pedroruizforcongress,99,99,99,N/A
Kenneth Morgan-Aguilera,,D,H,12,Mixed,M,https://kennethforcongress2026.com/about/,https://x.com/kmorganaguilera,https://www.facebook.com/kenneth.morgan.aguilera,https://www.instagram.com/kennethma4congress,https://www.youtube.com/@Kennethforcongress2026,https://www.tiktok.com/@kenmorganaguilera,99,That is his Campaign Facebook account but it's not a page.
Angela Rodriguez Prilliman,,D,H,12,Hispanic,F,https://www.helifortexas.com/,99,99,https://www.instagram.com/helifortexas,99,https://www.tiktok.com/@helifortexas,99,N/A
Mark Nair,,D,H,13,White,M,https://www.marknair.com/,https://x.com/MarkNairTX,https://www.facebook.com/MarkNairforCD13/,https://www.instagram.com/marknairtx/,99,99,99,N/A
Chasity Wedgeworth,,R,H,13,White,F,https://www.chasityfortexans.com/,99,https://www.facebook.com/ChasityforTexans,https://www.instagram.com/chasityfortexans,https://www.youtube.com/@Chasityfortexans,99,99,N/A
Thurman Bill Bartie,,D,H,14,Black,M,https://votebartie.org/,99,https://www.facebook.com/thurman.bartie/,99,99,99,99,That is his Campaign Facebook account but it's not a page.
Richard H Davis,,D,H,14,White,M,https://davisfortexas14.com/,99,https://www.facebook.com/people/Davis-for-Texas-14/61585960556062/,99,99,99,99,N/A
Konstantinos Vogiatzis,,D,H,14,White,M,https://www.konstantinosforcongress.com/,99,https://www.facebook.com/KonstantinosForCongress#,https://www.instagram.com/konstantinosforcongress/,https://www.youtube.com/@KonstantinosforCongress,99,99,N/A
Jessica Forgy,,R,H,14,White,F,https://www.jessicaforgy.com/,99,https://www.facebook.com/p/Jessica-Forgy-for-Texass-14th-Congressional-District-61574421055518/,https://www.instagram.com/jessicaforgyfor/,99,99,99,N/A
Ada Cuellar,,D,H,15,Hispanic,F,https://www.drcuellarforcongress.com/,https://x.com/drcuellartx15,https://www.facebook.com/drcuellarforcongress,https://www.instagram.com/drcuellarfortexas,https://www.youtube.com/@DrCuellarForCongress,https://www.tiktok.com/@drcuellarfortx15,https://bsky.app/profile/drcuellarfortx15.bsky.social,N/A
Bobby Pulido,,D,H,15,Hispanic,M,https://bobbypulidofortexas.com/,https://x.com/PulidoforTexas,https://www.facebook.com/bobbypulidofortexas/,https://www.instagram.com/bobbypulidofortexas/,https://www.youtube.com/channel/UCIuY2alDDxuHCuhwt18E65g,https://www.tiktok.com/@BobbyPulidoforTexas,99,N/A
Manuel J. Barraza,,R,H,16,Hispanic,M,https://barrazaforcongress.com/,99,99,99,99,99,99,N/A
Adam Bauman,,R,H,16,White,M,https://www.adambaumanforcongress.com/,99,https://www.facebook.com/p/Adam-Bauman-for-Congress-61575770233302/,https://www.instagram.com/adambaumanforcongress2026/,99,99,99,N/A
