CandidateName,Party,Office,District,Race,Gender,Website,Twitter,Facebook,Instagram,YouTube,TikTok,BlueSky,Notes,
Anissa Catlett,Republican,Senate,,"white, non-Hispanic",Female,https://catlettforkentucky.com/,https://x.com/Anissa_Catlett,99,http://instagram.com/catlettforkentucky,99,99,99,,
James D. Duncan,Republican,Senate,,99,99,99,99,99,99,99,99,99,,
Michael James Faris,Republican,Senate,,"white, non-Hispanic",Male,https://www.farisforsenate.com/,https://x.com/faris4senate_ky,https://www.facebook.com/people/Michael-Faris-for-US-Senate/61576071832318/,https://www.instagram.com/helibearded,99,99,99,,
Valerie 'Dr Val' Fredrick,Republican,Senate,,99,Female,https://valfredrick.com/,99,99,99,99,99,99,,
Jonathan M. Holliday,Republican,Senate,,"white, non-Hispanic",Male,99,https://x.com/Holliday4Senate,https://www.facebook.com/p/Jonathan-M-Holliday-for-US-Senate-61583350457217/,99,99,99,99,,
Jimmy I. Leon,Republican,Senate,,99,Male,http://www.jimmyleon.org/,https://x.com/LeonForUSSenate?t=rUHj3R5Ji_relyB_JNBFbw&s=08,99,99,99,http://www.jimmyleon.org/uploads/1/4/8/3/148335236/tiktok-sss_orig.png,99,https://truthsocial.com/@Jimmy_Leon,"be very careful with these sites, my computer flagged them"
Nate Morris,Republican,Senate,,"white, non-Hispanic",Male,https://natemorris.com/,https://x.com/NateMorris,https://www.facebook.com/nate.morris/,https://www.instagram.com/nate.morris/?hl=en,https://www.youtube.com/@NateMorris,99,99,,
A. Nick Shelley,Republican,Senate,,"white, non-Hispanic",Male,99,99,https://www.facebook.com/people/Nick-Shelley/61577734547986/#,99,99,99,99,,
George Washington,Republican,Senate,,99,99,99,99,99,99,99,99,99,"This is a really weird one, ballotpedia has a personal website, but the url name has me not wanting to click it",
(Other) Donald Wenzel,Republican,Senate,,99,99,99,99,99,99,99,99,99,(Other) is what is listed on the Sec of State website,
